bgdfc ec dfgae gefcd
cdfabg cb adgfcb bface
acbdf egbda adbge fg
fgdb afcbeg gcfeba edg
fedgcb begcfd def gfdbac
ebdfag dfcbag gd fdeagb
gbdcaf dbgec da gaed
bgade gacbe ebd cbefdg
ge fbdeca bdcfega cgadb
afcegd fgdabce de efgdac
gafedb debacg ef dfbe
fbcea eafcg fcbea dcbafge
bgdae becga bdcgfe ebcgda
begfdc dfbcga abfdg edagbf
fbcdag feagb cdef fcg
fbgda aedfcb cfgbde defgcb
da bgeafc bgdfac ecgdaf
gecab baedf eadfb gcbdfa
gacfd bgfed fgdae bfdeg
defgc bdcafg fgdec cegbf
gfcbd gd cbgfe ecbafd
dcab dafec fecadg ebdfa
defacg dgbcf gbdcf efcdbga
afgdce adcgb gbacd adg
gdafc acfdeb cb aebgd
cfage fgeac fgdbaec fgeac
begcf abgfe aegbf efbadc
bdeag aebdgf gce dbage
gfdab adbcfg gcfae dfagb
acbgd bgfead dfabc fcea
dgfcea efabdg egabd geafd
dfbace dfgeb eafcdbg dfcag
afbd gbcafed acgeb ebgfdc
abgce fadegc ebacg fagecd
ebgfdc geacbfd gcb gb
fa deacgb agfdbce ebdag
dcgebf dacgf agfbc cdagbf
cagdfe ged cgdafb bafdcg
dabegcf agdbe afe acfedb
cdgabfe afegbd fegbcd eafgd
cdafeb ed bafgde ed
cdefb gbea bdacfg dcbef
fbeacdg dgcab bgdca dae
ecdfa bdecfg fea dgcfbea
egdabc fdagbc cgafbd afdec
eacf bcdfg efca ecbad
fbedg decg cgf egfcb
egfba decgfa abfeg eafdcg
cgefab dfgace fecagd beadfc
adcefb gdbaf egad caebdf
bdfcga bfeadg ecgfb cg
edacfb fdeca fgabc cgafb
dfcgeb fgbae fgb bedgfc
edaf dec begadc dfagbc
cbgafd bcgfd fedc gfdbec
gbedf gdebfa bfegcd bgefd
eafg fgd dfg bdegcf
fdagcb bcedfa fceabdg adce
cfdgbae adc ecafgb dgabfc
dabfc cagf efbcgd abecdgf
feagbd dbgfac ade adgfe
dgbac abcgd gbadc adbgf
ecfbdg agd efdgcba aefbdg
dgecb bagcfde gecbaf gacbef
afgdbce cabd fcbdae becaf
da ebfdc cabd cfedbg
cfdage daecb febca ebacf
bafcdg dgafbc bdaef gd
eagbcf cbgef afb fcgbae
fgdcabe dcbfga aegcf fbcadeg
cgfdb bgdcf gabcd edcbgf
bdfae fdgcbae fdbgec fdecgb
fgbdcae eabcg caebg afeg
baedf debgfca efcbdg ea
adfbce ga cegfa abcg
bdcegfa gbdaf cbgda egabcfd
acgdeb dgb bfaed adbeg
defa edbgf afbdg bgfad
abfe faebcg acgef geacf
dbegacf aecdbg cage dcgbae
fgdae ba fedgbc egfba
daegbc befca cbfae dbgcae
gf dgafce fdg efcbda
abdgfe cegdf bgf ecgfbad
bfeacg acgfe bcaf gcade
bgdfaec acgdbfe defbca fcdeb
bfda fdgaebc dbaec fb
dagbef bcgdfe bgedaf gdace
beacfgd efgbca efbgca ebfgac
aefcdg cb agdfc bdgfec
ecfgbda beafdgc facebd bdeag
cegbda ecabdgf egcafdb fgcd
dfecba gbedac cdfeab abecg
bgaced bdeacg cbgea beacgdf
ecdbf cfa bfceag bdfeac
edfga decagb bdecfa dacfge
egbda cbdfae cfadeb egabfd
cebag fcebag dbcaeg gbd
ebgdacf aefbgd de gfdbae
gbafe gbafed gaefdcb gdfbec
cedbfa gbface eg fagbe
aefc gdbcf gecab gfcbd
fda bdefc egadbf fa
decga debfac fcbdg gecdbaf
dbagf ca gdcfab gaebcdf
bfagce cefdb fgeda aegfcd
ceagf dbfcge afdcbe ebdfgc
cgadbef gbdecf fgced fa
eafcb ceb cadb bdeafc
dagfce adefb bdfac dfegab
agfd dgaf gdafce eafcdb
agdefb eagcfb edacbg badfg
cfbgad dbage eb bgeadf
becag efbacg caebg cdgae
bdeacfg ef cadgf dcbeg
dfebca acbed fc efacd
gecafb fbegdc febcdg cegafb
defagb aedbfg gfd faegbc
ecba dcfae ec ce
dgabce dacegf baecd cfabed
afegb daebf ceagdf agbc
agbcd ecbdg bcadg dcagb
cbdae edcgfba ecd fdagbe
cbfa cbadgf bfcdg abcf
dagcfb aegcf fc fegac
dfcbga adbfge bdfeg cfadge
bfdac cbf fdabc edfca
agbce fceab dagfbe acebg
bdacf cfedab abcefd cafbd
cdbga bacf fgdace dcfgb
bfcadge cfbeg fg becgf
ecadbg degabc aecbgd cf
abedf facdg ebcf cb
edfacb adefc dbe dbe
gecdbf faec fadcb dbcaf
fcabdg gef eg fecadg
cbdegf edfab fegacb fa
gcebf aedfbg eafcbg fabecgd
daecf egca afcdeg caefd
ebcf fe ebcf fae
abcdfe daf debgf dbfeac
afbdc efdgabc dbagf gfdab
bedfgc fecdb edgfba cedfab
bdgacf dcfbeg dacgbf dagcb
gecba agfbedc cbage egfdc
bacfge bgdae abegfc afgbced
ceagbf befdcga edfagcb acdf
fecbdag fadgecb afbdg dgecfb
acgfb cb dfcag gdecfb
dbfce gdfcaeb fedabg fbcea
gceadbf dcbfage cafed ebacdf
cfeab edcbag acf dcabefg
gdf fcegbda agcde fgd
fdbeac gcbda bcfdg bfcgd
bdfce gbecfd gadbe ebcadgf
febdc cfag af cadbg
bedag dbc fgcdbe ebdfcg
fc dabgec bdcge ebfc
ef gfe cabfeg gabecf
gacdb dbfgace dbea cadbg
fcead fbcaged adebgc ceabgd
afebcd bfadg egbfca cgbfea
efadc abdf ebcdfa fegac
gcdba cebdf abecd gedcab
dagfb ebg gebcaf eg
daegfb dbaefc gacedf bfa
agdbc bagcd bgcda aedg
gfb gfacd agfdeb abcge
daefg dagfc acdbfg gbacfd
dcfea fad ebadgfc afedcb
fadbeg bcgde gbf bfg
bcdea cafbd afdg gacfb
cfead fcb bc bedcf
ebcagd gcead egdfc dagecb
fecgad gefda dafcg fdgca
gd cbefdg adbceg badcf
adcgfe fdgeac fb ebfc
dagbf ac faedcgb dfagb
efacd bcegdaf bdgacf gd
begfc bcgfd gfbce afbgcd
abdgfe eafdc efdbca acfgde
eacgdb ge daebcf eg
gcedaf efgabc dag deagc
bcf bcedfg gaecdf cdgeabf
aedgfb gf egf dfag
deagcb gf degfbc edcgbaf
dbefa abegdc cbdfg acfbed
egdfa edgbfca cbefg fagcbe
gacd gdac dcag gdac
geb afgdbe dfbegac efgcba
aefb bce befa gfecab
dgfec aebdgf abcdfeg fbaedc
fcbge bgcef acfgdb efbgd
cdbeg gcdfe fabgdce aecbfd
gaefb bcfged degcab egdaf
begfda efcda bfe dgacbe
fb fb acdbe cfdage
cbgaef efacgd aegfb aef
deabc dfagbe cgbfea ec
deac bgeafc cebfdg fcdegb
